full_text,sentiment,clean_text
@zkdlinkun_ @zkdlinkun_ halo kak maafin ya. silakan re-install aplikasi mytelkomsel nya lalu login kembali dengan nomor telkomsel dan silakan coba secara berkala metode pembayarannya. -chika,negatif,re aplikasi mytelkomsel login berkala metode pembayarannya
@stryfslrmdhn @ronigermanotta @stryfslrmdhn ganggu main game ya kak karena jaringan gak stabil :( maaf ya. yuk infoin nomor hp lokasi detail (min. s.d kelurahan) tanggal waktu kejadian nomor lain yang berkendala sama jika ada via dm biar dibantu cek serta privasi terjaga. thanks -sakia,negatif,ganggu main game jaringan stabil lokasi detail sd kelurahan tanggal kejadian privasi terjaga
@stfvvckyou kak @stfvvckyou maaf ya :( boleh dm yuk nomor hp waktu tanggal kejadian dan lokasi (kel kec kota) biar dibantu jaringannya stabil lagi -nesya,netral,tanggal kejadian lokasi kel kec kota jaringannya stabil
kepergian pertama di tahun 2025 adalah pemecatan shin tae-yong dari pelatih timnas indonesia terima kasih untuk dedikasi dan kerja keras untuk indonesia #indihome #pssi https://t.co/v0yvegx6z8,netral,kepergian pemecatan shin tae pelatih timnas indonesia dedikasi kerja kera indonesia
@lillith77777777 widihh pengguna telkomsel sejak kapan nih kak? paketnya udah diaktifin belom? -indah,positif,widihh pengguna paketnya diaktifin belom
@telkomindonesia @telkomsel sejak kemarin sampe sekarang telfon berkali2 masuk ke telfon kantor saat diangkat komputer yg bilang nomor akan segera diblokir dan minta pencet angka 8 saat saya pencet bicara dgn operator yg minta nama dan nik saya. tlg info nya apa bnr itu??,netral,kemarin sampe telfon berkali masuk telfon kantor diangkat komputer bilang diblokir pencet angka pencet bicara operator nama nik tlg info bnr
@telkomsel setiap mau pembayaran selalu muncul seperti ini min https://t.co/qbz5lxlnl5,positif,pembayaran muncul
@ronigermanotta @telkomsel @telkomsel iya ni buat maen game jaringan nya ilang ilangan,negatif,iya ni maen game jaringan ilang ilangan
@andywithluluv kak andy untuk paket #kuwotajkt48 cek dulu yuk di mytelkomsel ke menu beli paket. banyak pilihan membernya ya kak -nesya,positif,andy paket mytelkomsel menu beli paket pilihan membernya
@telkomsel tolong lah kak udah mau nangis aku ini,negatif,nangis
@domiadiwijaya @domiadiwijaya okee kak domi. mohon tunggu konfirmasi selanjutnya via dm. makasih -emmy,netral,okee domi tunggu konfirmasi
@hhat057 huhu maaf ya kak @hhat057 :( cek cek dulu yuk di mytelkomsel banyak pilihan paket dengan masa aktif 30 hari ya. kalo mau dibantu rekomendasikan boleh dm nomor hp kakak ya -nesya,positif,huhu mytelkomsel pilihan paket aktif rekomendasikan
@telkomsel di my tsel spore 65k sehari mint. di shopee cuma 50k. malaysia 125k 3 hari. dishopee cuma 100k lumayan bgt bedanya huhu mengsedih tt,netral,my tsel spore sehari mint shopee malaysia dishopee lumayan bedanya huhu mengsedih tt
@cruzozzan @telkomsel pernah punya pc nya flora dari punya sampe dijual blm digesek wkwkwkwk,netral,pc flora sampe dijual blm digesek wkwkwkwk
@bertonyes huhu maaf ya kak bertonys :( untuk paket dgn masa aktif 1 hari akan berakhir pada jam 23:59 . nesya saranin untuk aktifkan paket lebih awal agar bisa digunakan lebih lama ya. kakak juga bisa cek pilihan paket lainnya dgn masa aktif yg lebih panjang di mytelkomsel -nesya,negatif,huhu bertonys paket aktif jam nesya saranin aktifkan paket pilihan paket aktif mytelkomsel
@103nae @103nae halo kak. silakan coba secara berkala jika masih kendala infokan nomor hp dan capture beli paketnya ke dm. makasih -chika,negatif,berkala kendala infokan capture beli paketnya
@telkomsel coba cek dm,netral,
ini perasaanku aja atau semua yg milik negara itu yg ber-akhlak itu yg pelayanan pelayanan itu kok hobinya ngrepoti. macem @telkomsel kena sms promo dr mana mana data dijuwal terus kita yg suruh unsubscribe gitu?,positif,perasaanku milik negara ber pelayanan pelayanan hobinya ngrepoti macem kena sm promo data dijuwal suruh unsubscribe
@nebluela_ @nebluela_ baik kak natt. silakan lanjutkan melalui dm agar dibantu lebih lanjut ya. makasih. -dhet,positif,natt lanjutkan
@ojitostorm @telkomsel nggonku sampe saiki durung tak gesek. opo gak usah sekalian ya ,netral,nggonku sampe saiki durung gesek opo
@nebluela_ @nebluela_ okay kak natt. tunggu balesan di dm ya. have a nice day engene ️ -sakia,netral,okay natt tunggu balesan have a nice day engene
pembelian saham goto oleh telkomsel gimana @kpk_ri ?,netral,pembelian saham goto
@smolfou sinyalnya berkendala saat di lokasi mana kak?-caca,negatif,sinyalnya lokasi
@telkomsel aku beli paket keterangannya belom berhasil kenapa ya min,negatif,beli paket keterangannya belom berhasil
@cruzozzan @telkomsel asli tebel bngt sayang bngt itu nyampur sama no vouchernya pengen gesek jdi sayang,netral,asli tebel bngt sayang bngt nyampur no vouchernya pengen gesek jdi sayang
@telkomsel okeyy cek dm ku yah cinta ️,netral,okeyy ku cinta
@404_usermissing @404_usermissing meluncur dm kak alif segera dibalas yuk cek cek berkala. -chika,netral,meluncur alif dibalas berkala
@tanyakanrl keknya gue bakal pindah ke xl lagi sih lama2 tri harganya gak ngotak! telkomsel apalagi,netral,keknya gue pindah xl harganya ngotak
telkomsel bener-bener nguji kesabaran gw ya lu???? ah kesel bgt,negatif,bener nguji kesabaran gw lu ah kesel
@gdhiah @gdhiah blokir nomor hilang bisa dibantu melalui kami ya kak galih. infoin nomornya ke dm yuk biar dibantu cek serta privasi terjaga. thanks -sakia,negatif,blokir hilang galih nomornya privasi terjaga
@butterflycake00 eh eh kenapa kak? cerita dulu yuk sini biar kendalanya dibantu cek -caca,negatif,eh eh cerita kendalanya
@telkomsel sudah saya dm,netral,
@shopepiie wuahhh.. sekarang kakak udah gunakan nomor telkomsel-nya? -caca,netral,wuahhh
@telkomsel hai telkomsel bagaimana cara blokir nomor yang hilang ya?,negatif,blokir hilang
@nebluela_ @nebluela_ duh kuota yg diterima gak sesuai ya kak natt. maafin kak. infoin dulu nomor hpnya ke dm yuk biar dibantu cek serta privasi terjaga. thanks -sakia,netral,duh kuota diterima sesuai natt hpnya privasi terjaga
@telkomsel ini aku beli nya kemaren yah beb aku baru nyadar sekarang ️,netral,beli kemaren beb nyadar
pulsa telkomsel 15k,netral,pulsa
@needwuxian kakak ada dimana ini lokasi kendalanya?-caca,negatif,dimana lokasi kendalanya
@ciee_ciieee ada yang wangi wangi tau di menu beli paket di aplikasi mytelkomsel-nya kakak udah explore?-caca,netral,wangi wangi menu beli paket aplikasi mytelkomsel explore
banh kok u scam sih tch nande nande. disini katanya 54gb pas dibeli pesannya masuk bilang 5gb woi typo nya perhatikan yah sayank @telkomsel jangan bikin aku marah https://t.co/bc2gjgtd7i,negatif,banh u scam tch nande nande pa dibeli pesannya masuk bilang woi typo perhatikan sayank bikin marah
@bemyeps @bemyeps kak lit maafin ya. kalo pembelian berhasil namun langganan ott belum diterima infoin dulu nomor hp dan capture bukti transaksinya via dm yuk biar dibantu cek serta privasi terjaga. thanks -sakia,negatif,lit pembelian berhasil langganan ott diterima capture bukti transaksinya privasi terjaga
no verifikasi buat jkn mobile itu harus no telkomsel kah?,netral,no verifikasi jkn mobile no kah
@opetiaw @opetiaw maafin ya kak dmnya udah masuk antrian mohon ditunggu -micha,negatif,dmnya masuk antrian
@telkomsel kok belum ada di mytelkomsel aku min?,negatif,mytelkomsel
@potatopoteto07 hhihiw sini kak join pakai telkomsel biar samaan sama papa-nya -caca,netral,hhihiw join pakai samaan papa
@opetiaw @opetiaw kami upayakan bantu di dm secepatnya. boleh tunggu dulu yap. -joan,netral,upayakan secepatnya tunggu yap
@telkomsel gabisa min kalian gabisa bantu. dulu udh pernah complain tp ga ngaruh pulsaku ttp ga balik. akan kuhadapi wlpn ga di refund telkomsel :),negatif,gabisa gabisa udh complain tp ngaruh pulsaku ttp kuhadapi wlpn refund
ini aplikasi kacrut banget..lemot mau isi paket data aja susah bener. @telkomsel masak aplikasi katanya perush telkom terbesar kayak gini https://t.co/cnx5rdkbra,negatif,aplikasi kacrut bangetlemot isi paket data susah bener masak aplikasi perush telkom terbesar kayak gini
@telkomsel sudah saya dm min tolong bantu respon. pusing bngt kalau di rumah gaada jaringan..,negatif,respon pusing bngt rumah gaada jaringan
@404_usermissing @404_usermissing kak alif maaf ya. untuk sms yang diterima bisa dibantu blokir dengan infokan nomor hp via dm ya. makasih. -dhet,negatif,alif sm diterima blokir infokan
@telkomsel cek dm min @telkomsel,netral,
my telkomsel ni napaaa dahhhhhhhh,netral,my ni napaaa dahhhhhhhh
melu panitia tp ga lapo2 pekoro uas https://t.co/mzhwktwtgw,netral,melu panitia tp lapo pekoro uas
@flilandy kak zannn sekarang pakai nomor telkomsel dong?-caca,netral,zannn pakai
@decpride @decpride halo kak maaf guna dibantu cek dulu. infokan nomor hp dan capture usage nya ke dm. makasih -chika,negatif,infokan capture usage
@convomf eh ini apa jir ko ada permen telkomsel ,netral,eh jir ko permen
min aku punya paket data sampe 4 februari 2025 kok sekarang udah masa tenggang? @telkomsel,netral,paket data sampe februari tenggang
@telkomsel @fredyporis @byu_id rekan mimin di @byu_id kurang peka ke pelanggan tuh min ,negatif,rekan mimin peka pelanggan
ayo kalian bunuh gw aja https://t.co/wuqlaxncyd,netral,ayo bunuh gw
@cheyawnsa @cheyawnsa okey kak anne. tungguin dulu ya balasan dmnya -nesya,netral,okey anne tungguin dmnya
@telkomsel masih belum bisa min @telkomsel. mohon dilanjut bantu.,negatif,dilanjut
@o8048 @o8048 berkenan tunggu balesan dari temen joan di dm kak. -joan,netral,berkenan tunggu balesan temen
@lixuan6611 makasih sudah setia menggunakan telkomsel kak @lixuan6611. untuk promo paket bisa dicek pada aplikasi mytelkomsel ya. :) -dhet,positif,setia promo paket dicek aplikasi mytelkomsel
@irmaekapuri @irmaekapuri boleh konfirmasi nomor handphone yang kakak gunakan ke dm agar emmy bantu pengecekan lebih lanjut ya. makasih -emmy,netral,konfirmasi handphone emmy pengecekan
@noonehere309 @noonehere309 maafin error gimana kak aplikasinya? clear cache dan reinstall mytelkomsel lalu akses kembali yuk dan kirim juga nomor hp tgl kejadian dan tipe hp yang digunakan ke dm. -joan,negatif,error aplikasinya clear cache reinstall mytelkomsel akses kirim tgl kejadian tipe
@telkomsel cek dm asap,netral,asap
@telkomsel nomor hp juga sudah tertera di screen shot di post. karena sudah merugikan saya rasa pantas untuk dipublikasikan agar tidak ada korban lagi @telkomsel,netral,tertera screen shot post merugikan dipublikasikan korban
my telkomsel parah bat dah error bug mulu heran. design nya jg bikin bingung kalau punya dua kartu. tolong dibenerin dong @telkomsel,negatif,my parah bat dah error bug mulu heran design jg bikin bingung kartu dibenerin
@telkomsel udah dari 2014 ada kali min cuma jarang diskon juga sih ,positif,kali jarang diskon
open convert/tukar saldo shopeepay ovo dana gopay qris prem nonprem tukar pulsa xl axis tri three 3 jadi saldo wa for fastrep 338 by.u telkomsel indosat smartfren tidak bisa 10.900++ testi : https://t.co/jcpqexktst wa fastrep : https://t.co/dbyvm54bax #zonauang https://t.co/mvdges3t4f,negatif,open converttukar saldo shopeepay ovo dana gopay qris prem nonprem tukar pulsa xl axis three saldo wa for fastrep byu smartfren testi wa fastrep
@bemyeps ada kendala berhasil pembayaran namun langganan ott belum diterima kak @bemyeps? -sari,negatif,kendala berhasil pembayaran langganan ott diterima
@bangdani92 @indihomecare @bangdani92 duhh maaf ya kak dani segera terealisasikan yuk konfirmasi ke dm guna dibantu lebih lanjut dan disarankan hapus mention ada data kakak. makasih -chika,negatif,duhh dani terealisasikan konfirmasi disarankan hapus mention data
@wisnuhendrawan @indihome @wisnuhendrawan siap kak wisnu. tunggu dulu dmnya dibalas ya kak untuk pengecekan lebih lanjut. makasih :) -sakia,netral,wisnu tunggu dmnya dibalas pengecekan
cw / provider telkomsel xl ada yang pernah ngalamain hal ini gak ? penyebabnya apa ? soalnya sender tlp biasa hanya sekali dan itupun pake nomor yang aktif (xl) https://t.co/kyyzfxb6qk,netral,cw provider xl ngalamain penyebabnya sender tlp itupun aktif xl
@cruzozzan @telkomsel tebel yak pc nya?,netral,tebel yak pc
@fredyporis @byu_id @telkomsel tolong donk bantu jawab. klo @byu_id slow respon ,netral,donk klo slow respon
@wisnuhendrawan @indihome @wisnuhendrawan kak wisnu maaf ya. tunggu balesannya di dm ya biar dibantu penanganan lebih lanjut ya. makasih :) -sakia,negatif,wisnu tunggu balesannya penanganan
kuota telkomsel under 40k masa berlaku 30 hari #zonauang,netral,kuota under berlaku
@telkomsel @indihome tolong please help suruh teknisi liat,netral,suruh teknisi liat
@wonyiuu waduh kak nail udah aktifin fitur jaga pulsa di aplikasi mytelkomsel? biar pulsanya gak berkurang lagi sama tarif internet non paket :) -indah,negatif,nail aktifin fitur jaga pulsa aplikasi mytelkomsel pulsanya berkurang tarif internet non paket
@indihomecare sudah sampai mana prosesnya untuk hari ini? @indihomecare @telkomsel https://t.co/kbko5rob58,netral,prosesnya
@cruzozzan @cruzozzan sama-sama kak ozan. selamat melanjutkan aktivitasnya kembali. -dhet,positif,ozan selamat melanjutkan aktivitasnya
ayo bosku mari bergabung dengan kami dan dapatkan maxwin link rtp slot : https://t.co/e3hwwjshlq link prediksi jitu : https://t.co/arjqjbg40s whatsapp wetogel : +62878-1534-8871 deposit mulai rp 10 000 menerima deposit pulsa via telkomsel dan xl bonus rollingan slot 0.7% https://t.co/mbxov5fnlc,netral,ayo bosku mari bergabung dapatkan maxwin link rtp slot link prediksi jitu whatsapp wetogel deposit menerima deposit pulsa xl bonus rollingan slot
@telkomsel @indihome untuk kedua kalinya saya berharap lagi di perbaiki gangguan indihome mohon cek dm,negatif,kalinya berharap perbaiki gangguan indihome
pc telkomsel bagus banget bahannya. makasih min @telkomsel.,positif,pc bagus bahannya
@cheyawnsa @cheyawnsa pagi juga kak anne. maaf ya. kalo masih gak bisa reaktivasinya tunggu balesan di dm ya biar dibantu penanganan lebih lanjut. makasih :) -sakia,negatif,pagi anne reaktivasinya tunggu balesan penanganan
keknya di x yang paling susah bgt dihubungin tuh @gojekindonesia ya? macam telkomsel indosat shopee jenius kai bahkan grab yang masih pakai sistem bot tuh respons terkait complain atau sekedar konsultasi. eman bgt padahal pengen pakai produk hasil karya anak bangsa. ckck.,negatif,keknya x susah dihubungin shopee jenius kai grab pakai sistem bot respons terkait complain sekedar konsultasi eman pengen pakai produk hasil karya anak bangsa ckck
@telkomsel pagi min @telkomsel cek dm yaa untuk kelanjutan reaktivasi nomor. sampai saat ini masih belum bisa. thank youu,negatif,pagi yaa kelanjutan reaktivasi thank youu
@p33kali kak @p33kali udah ada balasan dmnya nih. yuk cek lagi -nesya,netral,dmnya
@evelynsalsabila @evelynsalsabila hai kak evelyn pastikan tidak menerima penawarannya. infoin dulu nomor dan tanggal waktu kejadian ke dm yuk biar dibantu cek. oh iya aktifin juga fitur jaga pulsa di mytelkomsel ya biar pulsa gak akan berkurang sama tarif internet non paket. makasih :),negatif,evelyn pastikan menerima penawarannya tanggal kejadian oh iya aktifin fitur jaga pulsa mytelkomsel pulsa berkurang tarif internet non paket
@telkomsel sudah dibalas nih min ,netral,dibalas
@wisnuhendrawan @indihome @wisnuhendrawan mohon maaf sebelumnya kak wisnu. apabila terdapat kendala pada layanan indihome atau orbit bisa konfirmasi nomor internet atas nama ataupun nomor orbit waktu kejadian via dm agar dibantu tindaklanjut ya. makasih. -dhet,negatif,wisnu kendala layanan indihome orbit konfirmasi internet nama orbit kejadian tindaklanjut
@feri_hafidz huhu maaf ya kak @feri_hafidz :( biar sinyalnya stabil boleh dm nomor hp dan waktu tanggal kejadian untuk dicek ya -nesya,netral,huhu sinyalnya stabil tanggal kejadian dicek
@p33kali @p33kali okee meluncur dm kak segera dibalas yuk cek cek. -chika,netral,okee meluncur dibalas
@fachricz kak radja maaf ya :( boleh coba dulu clear cache dan logout kemudian login kembali. kalo masih sama boleh dm nomor hp dan tipe hp kakak ya :( -nesya,negatif,radja clear cache logout login tipe
@telkomsel mimn tolong cek sinyal telkomsel di cibinong bogor. sepertinya lagi kurang bagus.,negatif,mimn sinyal cibinong bogor bagus
@eccaacio bjirt kamu berhasil bikin aku meriang,positif,bjirt berhasil bikin meriang
@syayangkamyu @syayangkamyu duh maafin kak tasyaa segera tersolusikan. saat ini sudah bantu follow up dm nya. yuk cek berkala dan disarankan hapus mention ada nomor laporan kakak. makasih -chika,negatif,duh tasyaa tersolusikan follow up berkala disarankan hapus mention laporan
@pierreversion @telkomsel nah ituu. telkomsel jujur mau di goa pun masi ada sinyal. pas itu di pantai pandawa temenku sinyalnya ilang semua punyaku masi lancar ,positif,ituu jujur goa masi sinyal pa pantai pandawa temenku sinyalnya ilang punyaku masi lancar
@telkomsel min cek dm dong min ,netral,
terima kasih @telkomsel dan @indihome duet sejati yang bikin hidup makin kreatif! ketika indihome istirahat panjang tanpa kejelasan -lebih dari seminggu -orbit pun hadir sebagai pahlawan walaupun kadang sinyalnya ikutan menghilang mungkin cuti bareng. trimaksh atas ilmu sabar,negatif,duet sejati bikin hidup kreatif indihome istirahat kejelasan seminggu hadir pahlawan kadang sinyalnya ikutan menghilang cuti bareng trimaksh ilmu sabar
@billbarness_ maaf ya kak bill :( boleh uninstall mytelkomsel kemudian install ulang dgn versi terbaru. kalo masih sama infokan ke dm nomor hp tipe hp dan capture keterangannya biar dibantu cek ya kak. makasih -nesya,negatif,bill uninstall mytelkomsel install ulang terbaru infokan tipe capture keterangannya
@alchemydd @alchemydd maaf ya kak zy :( udah cek promo paket lainnya di mytelkomsel? kalo mau dibantu rekomendasikan dm nomor hp kakak ya -nesya,positif,zy promo paket mytelkomsel rekomendasikan
min @telkomsel ini deploy-an nya lupa di rollback atau emng lagi testing di production? https://t.co/ic6jdbwnho,netral,deploy lupa rollback emng testing production
@alchemydd @telkomsel jujur xl masih masuk akal si tapi kdng dia suka lemot klo di beberapa wilayah minusnya disitu,negatif,jujur xl masuk akal si kdng suka lemot klo wilayah minusnya disitu
byee xl mahal bgt paketannya. malah mendingan telkomsel @myxl https://t.co/zuymplog1d,negatif,byee xl mahal paketannya mendingan
@pierreversion @telkomsel mau pake xl tapi kalo matlis sinyalnya ilang ,negatif,xl matlis sinyalnya ilang
@alchemydd @telkomsel team make 2 kartu sim kwkwkw xl sama telkomsel,netral,team make kartu sim kwkwkw xl
@telkomsel min kenapa app my telkomsel error mulu? gabisa dibuka. mau dibuka crash mulu.,negatif,app my error mulu gabisa dibuka dibuka crash mulu
akun segini banyak kuotanya mahal semua @telkomsel woi pepek https://t.co/wec4ltwlkw,negatif,akun segini kuotanya mahal woi pepek
kalo drama lg gue misuh2 ke telkomsel. semoga aja bsk msh aktif soalnya renews di appnya tgl 8,netral,drama lg gue misuh semoga bsk msh aktif renews appnya tgl
@telkomsel @simp4tz baik ka terimakasih tolong cek dm ya kak emmy,positif,ka terimakasih emmy
@ummiasma04 @escendo65536383 @ummiasma04 mau aktifin paket yang mana kak asma?yuk kakak bisa cek paket promo dan penawaran lainnya di nomor kakak dengan akses aplikasi mytelkomsel - pilih paket yang sesuai dengan kebutuhan. makasih -emmy,positif,aktifin paket asmayuk paket promo penawaran akses aplikasi mytelkomsel pilih paket sesuai kebutuhan
@dyananjani89 @kurawa kata siapa ga kaya.. u check donk @dennysiregar7 udah makmur baru 1 dr @telkomsel blm yg lain,netral,kaya u check donk makmur blm
@telkomsel lha menurut lo??? customer service tersampah di indonesia.,netral,lha lo tersampah indonesia
@ebepee @ebepee okay kak evan. lanjutkan melalui dm ya. -dhet,netral,okay evan lanjutkan
@heavenlystuff12 @byjujey @fcutiesky @tiba2romadon @janeistar @letslivexn @faenjemjem @cheesezyajaa aku jadii kakk,negatif,jadii kakk
@cintapbwj kamu beli dimana kok bisa hoki..,netral,beli dimana hoki
@cintapbwj ih aku jadi mau..,netral,ih
nomer cantik telkomsel halo bold 11 digit for hot-line nomer cantik &amp; mudah diingat cocok untuk hot-line atau nomer bisnis anda. pelajari selengkapnya di https://t.co/qe5fqefmw8 https://t.co/e5g7mzwsf3,positif,nomer cantik bold digit for hot nomer cantik amp mudah cocok hot nomer bisnis pelajari selengkapnya
@brayzenminovan gua jadi hong bakalan mukul elu ya,netral,gua hong mukul elu
@kuqpukupu dikabarkan udah berdamai ,netral,dikabarkan berdamai
@tessh0w sekolah gua mana bisa begitu,netral,sekolah gua
@fachmiza @fachmiza maaf ya kak fachmiza. mengenai ketidaksesuaian informasi kuota yang akan didapatkan boleh dm nomor dan capture keterangannya agar emmy cek lebih lanjut. makasih -emmy,negatif,fachmiza ketidaksesuaian informasi kuota didapatkan capture keterangannya emmy
@umamstudyy @simp4tz @umamstudyy maafin kak umam mengenai pulsa terpotong untuk langganan konten yang tiba-tiba aktifnya boleh dm nomor pulsa yang terpotong capture sms yang diterima tanggal dan waktu kejadian agar dicek lebih lanjut. makasih -emmy,negatif,umam pulsa terpotong langganan konten aktifnya pulsa terpotong capture sm diterima tanggal kejadian dicek
@telkomsel menu nomor 2 itu 134 gb. kenapa waktu dipilih keluarmya paketan 32 gb 7 hari zzzzz,negatif,menu dipilih keluarmya paketan zzzzz
@duplikatsashaaa @duplikatsashaaa halo kak. untuk penggunaan kuota tergantung dari aplikasi yang diakses seperti melakukan download streaming browsing ataupun akses social media. kakak bisa cek data usage yang terdapat pengaturan hp dan pastikan aplikasinya tidak aktif di latar belakang ya.,netral,penggunaan kuota tergantung aplikasi diakses download streaming browsing akses social medium data usage pengaturan pastikan aplikasinya aktif latar
@fandriansy13 @fandriansy13 mohon maaf kak andy. mengenai penawaran paket yang didapatkan dapat bervariasi ya. kakak dapat juga dm nomor dan kebutuhan kuotanya agar emmy cek lebih lanjut. makasih -emmy,negatif,andy penawaran paket didapatkan bervariasi kebutuhan kuotanya emmy
@simp4tz @telkomsel iya samaaaa,netral,iya samaaaa
@fachmiza @fachmiza bisa melalui *363# ya kak fza. lalu coba clear cache uninstall lalu install kembali dengan aplikasi versi terbaru ya. jika masih belum bisa boleh infokan nomor hp dan capture keterangan via dm agar dibantu lebih lanjut. makasih. -dhet,negatif,fza clear cache uninstall install aplikasi terbaru infokan capture keterangan
need capcut pro sebulan harga r buat c drop pl #zonauangᅠᅠᅠ,netral,need capcut pro sebulan harga r c drop pl
@telkomsel 80gb = 100ribu ? di papua aja 100rb aja cuman dapat 12gb itu aja bukan sebulan malah 28 hari ,netral,ribu papua rb cuman sebulan
udah telkomsel sekarang sinyalnya jelek paketan mahal ngajuin pengaduan lama banget padahal dulu andalan karena bisa dipake dimana aja sekarang ditengah kota pun kadang gabisa ,negatif,sinyalnya jelek paketan mahal ngajuin pengaduan andalan dipake dimana ditengah kota kadang gabisa
@telkomsel aplikasi mytelkomsel ngebug ga bs bs masuk ke aplikasi cara lain beli paketan bagaimana min?,negatif,aplikasi mytelkomsel ngebug b b masuk aplikasi beli paketan
@megadeawth ? males gw sm elu,negatif,male gw sm elu
extra bonus rajatoto4 : event mystery box hadiah deposit pulsa tanpa potongan ( telkomsel dan xl ) 2% cashback kekalahan slot 20% bonus member baru 5% bonus deposit harian 0 7% bonus rollingan 3% bonus cashback harian 1% bonus referal seumur hidup https://t.co/1qljwfytr1,netral,extra bonus rajatoto event mystery box hadiah deposit pulsa potongan xl cashback kekalahan slot bonus member bonus deposit harian bonus rollingan bonus cashback harian bonus referal seumur hidup
kuota udah open ya gas order wts jual kuota telkomsel tsel indosat isat im3 three tri 3 smartfren sf by.u murah #zonauang https://t.co/8d999md3gh,positif,kuota open gas order wts jual kuota tsel isat im three smartfren sf byu murah
